,0,1,2,3,4,value
2024-08-15,9.0,76.002,287.994,1952.798,1069.912,
2024-08-14,275.45,1724.035,5787.407999999999,10.001,0.0,
2024-08-13,2529.958,4206.084,3015.187,147.0,0.0,
2024-08-12,14.0,19.0,982.893,5839.227,0.0,
2024-08-10,71.868,253.569,738.943,1024.488,912.599,
2024-08-08,17.998,57.001,816.109,1023.035,1947.647,
2024-08-07,10.024,65.975,3626.607,0.0,0.0,
2024-08-06,754.003,388.458,40.0,0.0,0.0,
2024-08-05,11.269,14.0,896.816,2026.356,2749.778,
2024-08-03,11.998,142.454,1079.191,770.867,1155.692,
2024-08-01,1525.9910000000002,777.924,1467.8380000000002,1297.879,1031.758,
2024-07-31,2043.3039999999999,1632.3090000000002,4284.555,555.371,0.0,
2024-07-30,63.049,512.399,4599.483,939.963,0.0,
2024-07-29,1006.085,1277.986,2962.687,4030.639,0.0,
2024-07-27,151.63299999999998,4116.597,3384.827,1243.523,991.64,
2024-07-26,1007.014,1469.01,1271.235,302.003,0.0,
2024-07-25,114.137,1036.749,3427.619,808.296,1116.849,
2024-07-24,1568.635,2393.01,5134.395,159.023,0.0,
2024-07-23,385.899,1815.92,1416.997,40.002,0.0,
2024-07-22,1142.0,1054.98,3660.552,1830.937,302.827,
2024-07-20,8.205,185.014,549.219,691.796,659.063,
2024-07-19,383.419,241.12,1116.652,607.0889999999999,858.409,
2024-07-18,1002.999,813.0,328.998,0.0,0.0,
2024-07-17,343.4,2264.087,6185.808,9188.753,713.0,
2024-07-17,,,,,,49.0
2024-07-18,,,,,,52.0
2024-07-19,,,,,,49.0
2024-07-20,,,,,,47.0
2024-07-21,,,,,,50.0
2024-07-22,,,,,,45.0
2024-07-23,,,,,,47.0
2024-07-24,,,,,,44.0
2024-07-25,,,,,,46.0
2024-07-26,,,,,,49.0
2024-07-27,,,,,,46.0
2024-07-28,,,,,,49.0
2024-07-29,,,,,,46.0
2024-07-30,,,,,,46.0
2024-07-31,,,,,,48.0
2024-08-01,,,,,,46.0
2024-08-02,,,,,,50.0
2024-08-03,,,,,,47.0
2024-08-04,,,,,,52.0
2024-08-05,,,,,,46.0
2024-08-06,,,,,,48.0
2024-08-07,,,,,,47.0
2024-08-08,,,,,,46.0
2024-08-09,,,,,,59.0
2024-08-10,,,,,,50.0
2024-08-11,,,,,,47.0
2024-08-12,,,,,,49.0
2024-08-13,,,,,,49.0
2024-08-14,,,,,,48.0
2024-08-15,,,,,,50.0
2024-08-16,,,,,,47.0
